ID,Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Y_Fast,Y_Slow,Y_Okay,Y_Nice,Y_Flat,Y_Dangerous,Y_Hills,Y
767,Street Running,2023-02-25 10:52:22,FALSE,Epsom and Ewell - Distance2hrs,11.49,1010,02:00:00,149,171,3.5,171,179,00:10:27,00:08:49,142,139,0.9,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,05:07.09.6,12,0,01:59:42,02:00:00,30,100,0,1,0,0,0,1,1,Slow Dangerous Hills
766,Street Running,2023-02-20 11:01:07,FALSE,Epsom and Ewell - R3 DistPace10k,6.53,632,01:04:53,150,171,3.4,168,181,00:09:56,00:07:39,66,70,0.96,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,02:49.02.2,8,0,01:04:33,01:04:53,20,55,0,0,1,0,0,0,1,Okay Hills
765,Street Running,2023-02-17 11:08:35,FALSE,Epsom and Ewell - R0 Easy7m,7.18,685,01:12:08,149,167,3.7,166,248,00:10:03,00:08:23,70,69,0.96,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,04:00.77,8,0,01:12:05,01:12:08,22,69,0,1,0,0,0,1,1,Slow Dangerous Hills
764,Street Running,2023-02-15 11:20:37,FALSE,Epsom and Ewell - R3 DistPace10k,6.39,626,01:03:08,152,174,3.8,168,180,00:09:53,00:08:26,57,56,0.96,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,01:41.05.4,8,0,01:02:55,01:03:08,20,54,0,1,0,0,0,1,1,Slow Dangerous Hills
763,Street Running,2023-02-13 11:31:54,FALSE,Epsom and Ewell - R3 DistPace10k,6.26,548,01:03:19,144,166,3.3,167,242,00:10:07,00:08:27,56,60,0.95,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,05:15.22.5,7,0,01:02:54,01:03:19,20,55,0,1,0,0,0,1,1,Slow Dangerous Hills
762,Street Running,2023-02-10 14:55:55,FALSE,Epsom and Ewell - R0 Easy7m,7.75,763,01:18:14,161,182,4.4,169,241,00:10:06,00:08:30,71,79,0.94,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,00:56.23.3,10,0,01:18:05,01:18:22,25,78,0,1,0,0,0,1,1,Slow Dangerous Hills
761,Street Running,2023-02-08 11:01:50,FALSE,Epsom and Ewell - R3 DistPace10k,6.39,602,01:03:03,154,177,3.8,169,183,00:09:52,00:08:38,57,56,0.96,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,01:39.27.2,8,0,01:02:43,01:03:03,20,54,0,1,0,0,0,1,1,Slow Dangerous Hills
760,Street Running,2023-02-05 08:50:58,FALSE,Epsom and Ewell - R0 Easy7m,7.48,837,01:15:41,171,198,5,167,179,00:10:07,00:08:38,130,131,0.95,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,07:09.01.8,8,0,01:15:24,01:15:41,30,132,0,1,0,0,0,1,1,Slow Dangerous Hills
759,Street Running,2023-02-03 11:09:56,FALSE,Epsom and Ewell - R3 DistPace10k,7.27,728,01:12:43,156,195,4.4,166,177,00:10:00,00:08:04,67,71,0.97,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,04:35.06.6,8,0,01:12:17,01:12:43,22,69,0,1,0,0,0,1,1,Slow Dangerous Hills
758,Street Running,2023-02-01 11:01:32,FALSE,Epsom and Ewell - R2 30minPace,3.27,322,00:32:28,155,179,3.4,162,179,00:09:55,00:08:21,30,34,0.99,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,04:05.67.7,5,0,00:32:24,00:32:28,21,51,0,1,0,0,0,0,0,Slow
757,Street Running,2023-01-28 11:33:18,FALSE,Epsom and Ewell - Distance2hrs,11.87,1078,02:00:00,155,178,4.5,172,181,00:10:07,00:07:51,158,124,0.92,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,09:15.62.2,12,0,01:59:38,02:00:00,32,99,0,0,1,0,0,0,1,Okay Hills
756,Street Running,2023-01-23 13:51:04,FALSE,Epsom and Ewell Running,7.25,706,01:12:31,154,182,4.5,166,177,00:10:00,00:08:24,75,74,0.97,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,00:14.26.9,9,0,01:12:28,01:12:31,22,69,0,1,0,0,0,1,1,Slow Dangerous Hills
755,Street Running,2023-01-20 11:01:28,FALSE,Epsom and Ewell - R3 DistPace10k,7.26,704,01:11:09,155,178,4.8,167,186,00:09:48,00:08:20,69,68,0.98,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,04:20.99.3,8,0,01:10:56,01:11:09,22,69,0,1,0,0,0,1,1,Slow Dangerous Hills
754,Street Running,2023-01-18 10:04:26,FALSE,Epsom and Ewell Running,8.1,637,01:22:22,137,189,3.3,168,179,00:10:10,00:08:49,77,76,0.94,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,04:10.39.3,9,0,01:21:56,02:03:49,20,52,0,1,0,0,0,1,1,Slow Dangerous Hills
753,Street Running,2023-01-16 13:19:26,FALSE,Epsom and Ewell Running,7.18,721,01:11:54,156,185,4.8,167,179,00:10:01,00:08:23,69,73,0.96,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,04:07.84.1,8,0,01:11:53,01:11:54,23,70,0,1,0,0,0,1,1,Slow Dangerous Hills
752,Street Running,2023-01-12 08:22:57,FALSE,Epsom and Ewell - RFree,3.97,372,00:41:25,144,170,3.6,164,184,00:10:26,00:08:43,34,38,0.93,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,01:06.57,6,0,00:41:11,00:41:33,21,51,0,1,0,0,0,0,0,Slow
751,Street Running,2023-01-11 08:36:44,FALSE,Epsom and Ewell Running,3.96,438,00:41:04,162,183,4.6,163,183,00:10:23,00:08:44,28,27,0.94,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,05:13.50.7,5,0,00:41:03,00:41:04,21,51,0,1,0,0,0,0,0,Slow
750,Street Running,2023-01-09 11:08:48,FALSE,Epsom and Ewell Running,3.93,388,00:40:58,148,179,3.7,160,179,00:10:25,00:08:35,24,28,0.95,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,05:07.12.2,5,0,00:40:57,00:40:58,21,51,0,1,0,0,0,0,0,Slow
749,Street Running,2023-01-01 09:36:51,FALSE,Epsom and Ewell - R2 30minPace,3.26,329,00:33:11,146,183,3.1,162,179,00:10:11,00:08:39,21,25,0.96,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,03:10.93,5,0,00:33:11,00:33:11,21,51,0,1,0,0,1,0,0,Slow Flat
748,Street Running,2022-12-22 11:13:55,FALSE,Epsom and Ewell Running,6.43,609,01:02:31,147,170,3.7,169,242,00:09:44,00:08:10,50,51,0.97,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,02:04.51.5,8,0,01:02:19,01:02:31,22,52,0,1,0,0,0,1,1,Slow Dangerous Hills
747,Street Running,2022-12-19 13:18:21,FALSE,Epsom and Ewell - R3 DistPace10k,6.12,601,01:03:12,149,170,3.7,167,180,00:10:19,00:08:10,48,67,0.93,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,02:14.99.2,7,0,01:03:03,01:03:12,19,53,0,1,0,0,0,1,1,Slow Dangerous Hills
746,Street Running,2022-12-16 11:24:45,FALSE,Epsom and Ewell Running,7.25,687,01:12:38,149,177,3.8,165,244,00:10:01,00:08:07,75,76,0.97,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,00:13.25.8,9,0,01:12:26,01:12:38,23,69,0,1,0,0,0,1,1,Slow Dangerous Hills
745,Street Running,2022-12-13 14:34:48,FALSE,Epsom and Ewell Running,6.67,665,01:08:24,153,177,4.3,165,177,00:10:15,00:08:49,55,54,0.95,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,04:12.89.5,8,0,01:08:10,01:08:24,22,48,0,1,0,0,0,1,1,Slow Dangerous Hills
744,Street Running,2022-12-09 11:32:05,FALSE,Epsom and Ewell Running,7.29,710,01:12:44,150,180,4.1,166,182,00:09:58,00:08:38,70,72,0.97,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,00:36.47.7,9,0,01:12:26,01:12:44,22,69,0,1,0,0,0,1,1,Slow Dangerous Hills
743,Street Running,2022-12-07 12:00:02,FALSE,Epsom and Ewell Running,6.66,384,01:05:46,118,139,2,166,185,00:09:53,00:08:33,50,52,0.98,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,04:06.07.8,8,0,01:05:43,01:05:47,21,50,0,1,0,0,0,1,1,Slow Dangerous Hills
742,Street Running,2022-12-05 14:49:50,FALSE,Epsom and Ewell Running,7.54,596,01:17:18,133,179,3,167,225,00:10:15,00:08:36,71,73,0.94,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,02:56.83.2,9,0,01:17:12,01:17:18,21,59,0,1,0,0,0,1,1,Slow Dangerous Hills
741,Street Running,2022-12-02 14:03:20,FALSE,Epsom and Ewell Running,6.19,599,01:03:34,149,176,3.7,163,250,00:10:16,00:07:46,53,56,0.95,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,07:31.74.7,7,0,01:03:28,01:03:34,23,52,0,0,1,0,0,0,1,Okay Hills
740,Street Running,2022-11-30 14:42:25,FALSE,Epsom and Ewell Running,7.32,673,01:11:40,146,179,3.6,169,183,00:09:48,00:08:23,70,69,0.97,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,00:47.41.2,9,0,01:11:37,01:11:40,23,70,0,1,0,0,0,1,1,Slow Dangerous Hills
739,Street Running,2022-11-28 11:33:40,FALSE,Epsom and Ewell Running,6.62,618,01:04:15,148,175,3.7,169,184,00:09:43,00:08:00,50,50,0.97,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,03:05.35,8,0,01:04:13,01:04:15,23,51,0,1,0,0,0,1,1,Slow Dangerous Hills
738,Street Running,2022-11-25 15:10:41,FALSE,Epsom and Ewell Running,7.3,703,01:11:08,153,171,3.9,168,240,00:09:45,00:07:58,70,71,0.98,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,00:38.59.6,10,0,01:11:02,01:11:08,23,69,0,0,1,0,0,0,1,Okay Hills
737,Street Running,2022-11-23 15:48:41,FALSE,Epsom and Ewell Running,6.1,611,01:00:27,155,179,3.9,169,181,00:09:55,00:08:27,48,53,0.95,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,04:20.07.1,7,0,01:00:25,01:00:27,22,53,0,1,0,0,0,1,1,Slow Dangerous Hills
736,Street Running,2022-11-21 08:08:36,FALSE,Epsom and Ewell Running,6.66,715,01:05:51,160,182,4.4,168,179,00:09:53,00:08:19,68,66,0.97,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,03:59.67.3,8,0,01:05:49,01:05:51,19,52,0,1,0,0,0,1,1,Slow Dangerous Hills
735,Street Running,2022-11-18 08:14:59,FALSE,Epsom and Ewell Running,7.71,696,01:16:15,144,161,3.3,169,184,00:09:54,00:07:51,74,79,0.96,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,04:08.12.1,9,0,01:15:57,01:16:15,22,73,0,0,1,0,0,0,1,Okay Hills
734,Street Running,2022-11-14 07:13:18,FALSE,Epsom and Ewell Running,10.33,950,01:45:16,149,175,3.6,170,236,00:10:11,00:08:51,97,95,0.93,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,00:58.27.3,12,0,01:44:09,01:45:16,20,79,0,1,0,0,0,1,1,Slow Dangerous Hills
733,Street Running,2022-11-11 06:23:14,FALSE,Epsom and Ewell Running,7.23,708,01:11:57,150,198,3.9,167,182,00:09:57,00:08:19,67,71,0.96,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,00:08.72.3,9,0,01:11:55,01:11:57,22,69,0,1,0,0,0,1,1,Slow Dangerous Hills
732,Street Running,2022-11-08 07:33:14,FALSE,Epsom and Ewell Running,6.65,640,01:06:39,146,171,3.6,167,217,00:10:01,00:08:33,77,76,0.95,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,03:59.10.2,8,0,01:06:35,01:06:39,19,53,0,1,0,0,0,1,1,Slow Dangerous Hills
731,Street Running,2022-11-04 07:05:57,FALSE,Epsom and Ewell Running,7.26,696,01:11:55,149,187,3.5,168,228,00:09:55,00:08:33,74,72,0.97,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,00:16.70.5,9,0,01:11:51,01:11:55,22,69,0,1,0,0,0,1,1,Slow Dangerous Hills
730,Street Running,2022-11-02 07:11:44,FALSE,Epsom and Ewell Running,6.1,557,00:59:34,144,173,3.4,167,179,00:09:46,00:08:36,43,47,0.98,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,05:17.33.7,7,0,00:59:32,00:59:34,23,52,0,1,0,0,0,1,1,Slow Dangerous Hills
729,Street Running,2022-10-30 10:39:41,FALSE,Epsom and Ewell Running,7.64,684,01:16:09,145,168,3.2,168,182,00:09:58,00:07:42,68,72,0.96,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,06:44.53.2,8,0,01:15:47,01:16:09,22,74,0,0,1,0,0,0,1,Okay Hills
728,Street Running,2022-10-28 08:19:59,FALSE,Epsom and Ewell Running,7.24,689,01:14:19,146,164,3.4,167,242,00:10:16,00:08:26,73,72,0.93,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,00:05.83,9,0,01:14:17,01:14:19,22,69,0,1,0,0,0,1,1,Slow Dangerous Hills
727,Street Running,2022-10-26 06:31:48,FALSE,Epsom and Ewell Running,6.27,610,01:02:42,150,176,3.7,170,186,00:10:00,00:08:43,53,57,0.94,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,05:20.44.7,7,0,01:02:41,01:02:42,22,53,0,1,0,0,0,1,1,Slow Dangerous Hills
726,Street Running,2022-10-24 06:43:47,FALSE,Epsom and Ewell Running,6.65,607,01:06:00,146,162,3.4,169,182,00:09:56,00:08:44,70,68,0.96,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,03:50.06.9,8,0,01:05:56,01:06:00,19,53,0,1,0,0,0,1,1,Slow Dangerous Hills
725,Street Running,2022-10-21 07:03:10,FALSE,Epsom and Ewell Running,7.26,696,01:13:27,151,175,3.6,168,180,00:10:08,00:08:52,70,68,0.94,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,00:19.20.1,9,0,01:13:07,01:13:27,22,70,0,1,0,0,0,1,1,Slow Dangerous Hills
